,,,-------------, STANDARD, FY DIV 3,--------------

DAY,10.00 - 10.30,10.30 - 11.00,11.00 - 11.30,11.30 - 12.00,12.00 - 12.30,12.30 - 13.00,13.00 - 13.30,13.30 - 14.00,14.00 - 14.30,14.30 - 15.00,15.00 - 15.30,15.30 - 16.00,16.00 - 16.30,16.30 - 17.00,17.00 - 17.30,
MONDAY,ê room 3, room 3,MATH1 room 4,FCP room 4,LUNCH,LAB 3hrs,LAB 3hrs,LAB 3hrs,BME room 4,EM room 4,,,LAB 2hrs,LAB 2hrs,,
TUESDAY,FCP room 4,LAB 2hrs,LAB 2hrs, room 4,LUNCH,,,MATH1 room 4,,PH room 4,,LAB 3hrs,LAB 3hrs,LAB 3hrs,,
WEDNESDAY,ê room 4,BME room 4,ê room 4, room 4,LUNCH,,,LAB 2hrs,LAB 2hrs,,EM room 4,LAB 3hrs,LAB 3hrs,LAB 3hrs,MATH1 room 4,
THURSDAY,ê room 4,LAB 2hrs,LAB 2hrs,PH room 4,LUNCH,,LAB 3hrs,LAB 3hrs,LAB 3hrs,BME room 4,,,,,FCP room 4,
FRIDAY,ê room 4, room 4,ê room 4, room 4,LUNCH,MATH1 room 4,,,EM room 4,PH room 4,,,,,,
